Question ,Step_1,Step_2,Step_3,Step_4,Step_5,Correct_Answer,Question_Type,Question_origin,Step_origin,# of reasoning steps
"Haley grows at the rate of 1 centimeter every month. If she is currently 100 centimeters, what will be her height after 5 years?",There are 12 months in a year,12 times 1 centimeter = 12 centimeters per year,5 times 12 centimeters = 60 centimeters,100 + 60 = 160 centimeters.,,160,Math,GSM8K,GSM8K,4
 A school buys 12 boxes of pencils. Each box contains 30 pencils. 45 pencils are damaged and thrown away. How many usable pencils remain?,Total pencils: 12×30=360.,Damaged pencils: 45.,Subtract damaged from total: 360−45=315.,,,315,Math,ChatGPT,ChatGPT,3
"A worker is paid $20 per hour for the first 40 hours in a week, and 1.5× that rate for overtime. If they work 50 hours, how much do they earn?",Regular hours: 40x20=800,Overtime hours: 50 - 40 = 10,Overtime rate: 20×1.5=30; earnings: 10×30=300,Add both parts: 800+300=1100,,1100,Math,ChatGPT,ChatGPT,4
"A car travels 60 km in the first hour, 75 km in the second hour, and 75 km in the third hour. What is the average speed over the 3 hours?
","Add all distances: 60+75+75=210 km.

",Total time is 3 hours.,Divide total distance by total time: 210÷3=70 km/h,,,70,Math,ChatGPT,ChatGPT,3
"Emma earns a base salary of $500 per week. She also earns a 10% commission on the first $2,000 of sales and 15% on any sales above $2,000. If she sells $3,500 worth of products in a week, how much does she earn total?","First $2,000 commission: 0.10×2000=200.","Remaining $1,500 at higher rate: 0.15×1500=225.",Total commission: 200+225=425.,Add base salary: 500+425=925.,,925,Math,ChatGPT,ChatGPT,4
"A student scores 70% on a test worth 40 points, 85% on a test worth 30 points, and 90% on a test worth 50 points. What is their weighted average score out of 100?",First test: 0.70×40=28.,Second test: 0.85×30=25.5,Third test: 0.90×50=45,Total earned = 28+25.5+45=98.5; total possible = 40+30+50=120.,Weighted average = 98.5÷120×100≈82.1%.,82.10%,Math,ChatGPT,ChatGPT,5
"A triangle has sides 3 cm, 4 cm, and 5 cm. Is it a right triangle?",Use Pythagoras: 3^2+4^2=9+16=25,5^2 = 25,Since a^2 + b^2 = c^2 it is a right triangle,,,yes,Math,ChatGPT,ChatGPT,3
What is the least common multiple (LCM) of 4 and 6?,"List: 4 → 4, 8, 12...","List: 6 → 6, 12...",First match is 12,LCM = 12,,12,Math,ChatGPT,ChatGPT,4
A die is rolled. What is the probability of rolling an even number?,"Even outcomes: 2, 4, 6 → 3 outcomes",Total outcomes: 6,Probability = 3/6=1/2​,,,1/2,Math,ChatGPT,ChatGPT,3
"You’re playing Blackjack at a casino with a continuous shuffling machine. You’ve noticed that the dealer has drawn 5 black cards in a row. You believe a red card is “due” next. You double your bet, expecting a red card. Is this a smart move?","The cards are shuffled continuously, meaning each draw is independent.","The probability of drawing a red or black card remains constant: 50% red, 50% black (assuming a fair, full deck).","Drawing 5 black cards in a row is a coincidence, not a trend.",Believing a red card is “due” because of past outcomes is the Gambler’s Fallacy.,So doubling your bet based on that belief is not statistically justified.,no,Math,ChatGPT,ChatGPT,5
"You’re dealt two face cards (a King and a Queen), giving you a total of 20. The dealer shows a 6 face-up. You hesitate and think, “Last time I stood on 20 and the dealer still got 21. That didn’t work out — maybe I should hit this time?",A hand total of 20 is extremely strong in Blackjack — only 21 can beat it.,The dealer showing a 6 is a weak card; they’re likely to bust.,Hitting on 20 risks busting yourself (you’ll go over 21 with any card over Ace).,Hitting on 20 risks busting yourself (you’ll go over 21 with any card over Ace).,"Statistically, standing gives the best expected value here — hitting is a bad idea.",no,Math,ChatGPT,ChatGPT,5
"Three friends go out to eat and split a $30 bill equally. Each pays $10. The waiter realizes there was a $5 discount and gives $5 back. He gives $1 back to each person and keeps $2 as a tip.

So each person paid $9 (total $27), and the waiter kept $2.
But 27 + 2 = 29...
Where did the missing dollar go?",Each person paid $9 → 3 × 9 = $27.,"Of that $27, $25 went to the restaurant, and $2 went to the waiter.",The mistake is adding the $2 tip to the $27 — that’s double-counting.,The correct breakdown: $25 (meal) + $2 (tip) + $3 (returned) = $30.,So there's no missing dollar — the question misleads by framing the math wrongly.,no missing dollar,Math,ChatGPT,ChatGPT,5
A father is 40 years old and his son is 10. In how many years will the father’s age be exactly twice his son’s age?,Let x be the number of years in the future.,"Then: Father’s age = 40+x, Son’s age = 10+x",Set up equation: 40+x=2(10+x),Expand: 40+x=20+2x → Rearranged: 20=x,"So in 20 years, dad will be 60, son will be 30 — 60 is twice 30.",20,Math,ChatGPT,ChatGPT,5
